name|month|year|open|high|low|close|close_previous_month|low_previous_month|pct_return_month|pct_open_to_low|pct_low_to_high|pct_low_previous_month_to_low_current_month|day_low_day_of_month|day_high_day_of_month
Kinnevik AB ser. B|Jul|2021|344.1|381.3|328.3|375.5|342.6|294.6|0.0960303561004085|-0.045916884626562|0.1614377094121231|0.1143923964697894|13|23
Kinnevik AB ser. B|Aug|2021|376.0|407.75|332.5|338.1|375.5|328.3|-0.099600532623169|-0.1156914893617021|0.2263157894736842|0.0127931769722813|19|5
Kinnevik AB ser. B|Sep|2021|340.0|360.4|302.55|309.15|338.1|332.5|-0.085625554569654|-0.1101470588235293|0.1912080647826803|-0.0900751879699247|28|7
Kinnevik AB ser. B|Oct|2021|305.0|351.25|295.6|336.65|309.15|302.55|0.088953582403364|-0.0308196721311474|0.1882611637347766|-0.0229714096843496|12|26
Kinnevik AB ser. B|Nov|2021|336.65|381.6|318.45|322.65|336.65|295.6|-0.0415862171394623|-0.054062082281301|0.198304286387188|0.0773004059539916|24|16
Kinnevik AB ser. B|Dec|2021|323.5|331.6|293.4|322.75|322.65|318.45|0.0003099333643268|-0.0930448222565688|0.1301976823449218|-0.0786622703721149|20|1
Kinnevik AB ser. B|Jan|2022|322.75|329.1|258.35|275.2|322.75|293.4|-0.1473276529821844|-0.1995352439969016|0.2738532997871106|-0.119461486025903|28|3
Kinnevik AB ser. B|Feb|2022|279.0|284.6|217.1|243.1|275.2|258.35|-0.1166424418604651|-0.2218637992831541|0.3109166282818978|-0.1596671182504355|24|2
Kinnevik AB ser. B|Mar|2022|243.1|257.4|222.3|247.5|243.1|217.1|0.0180995475113121|-0.0855614973262031|0.1578947368421051|0.0239520958083834|7|17
Kinnevik AB ser. B|Apr|2022|247.0|264.9|180.35|195.1|247.5|222.3|-0.2117171717171717|-0.2698380566801619|0.4688106459661767|-0.1887089518668466|27|5
Kinnevik AB ser. B|May|2022|192.95|199.2|151.45|194.85|195.1|180.35|-0.0012813941568426|-0.2150816273646022|0.3152855727963024|-0.1602439700582201|2|31
Kinnevik AB ser. B|Jun|2022|194.9|200.4|156.8|164.8|194.85|151.45|-0.1542211957916345|-0.1954848640328372|0.2780612244897957|0.0353251898316278|22|3
Kinnevik AB ser. B|Jul|2022|163.45|182.45|150.75|181.95|164.8|156.8|0.1040655339805822|-0.0776996023248699|0.2102819237147595|-0.0385841836734694|11|29
Kinnevik AB ser. B|Aug|2022|181.95|186.0|150.6|152.45|181.95|150.75|-0.1621324539708711|-0.1723000824402307|0.2350597609561753|-0.0009950248756219|29|11
Kinnevik AB ser. B|Sep|2022|150.45|158.5|138.1|147.6|152.45|150.6|-0.0318137094129222|-0.0820870721169824|0.1477190441708906|-0.0830013280212483|23|12
Kinnevik AB ser. B|Oct|2022|145.9|159.25|132.0|136.5|147.6|138.1|-0.0752032520325203|-0.0952707333790268|0.206439393939394|-0.0441708906589427|20|4
Kinnevik AB ser. B|Nov|2022|137.9|169.45|133.55|159.35|136.5|132.0|0.1673992673992672|-0.0315445975344451|0.2688131785847996|0.0117424242424242|3|11
Kinnevik AB ser. B|Dec|2022|163.85|171.45|139.4|143.2|159.35|133.55|-0.1013492312519611|-0.1492218492523649|0.2299139167862265|0.0438038187944589|20|1
Kinnevik AB ser. B|Jan|2023|145.0|170.95|144.25|160.55|143.2|139.4|0.121159217877095|-0.0051724137931034|0.1850953206239167|0.0347919655667143|2|13
Kinnevik AB ser. B|Feb|2023|160.8|192.0|150.45|156.15|160.55|144.25|-0.0274057925879788|-0.0643656716417911|0.2761714855433699|0.0429809358752164|22|2
Kinnevik AB ser. B|Mar|2023|156.85|165.6|135.05|154.5|156.15|150.45|-0.010566762728146|-0.1389862926362766|0.2262125138837465|-0.1023595879029576|20|7
Kinnevik AB ser. B|Apr|2023|154.5|169.8|151.85|167.85|154.5|135.05|0.0864077669902911|-0.0171521035598706|0.1182087586433981|0.1243983709737133|3|12
Kinnevik AB ser. B|May|2023|168.15|170.3|151.25|155.75|167.85|151.85|-0.0720881739648495|-0.1005055010407375|0.1259504132231406|-0.0039512676983864|26|2
Kinnevik AB ser. B|Jun|2023|156.6|162.55|137.8|149.4|155.75|151.25|-0.0407704654895665|-0.1200510855683268|0.1796081277213352|-0.0889256198347107|26|2
Kinnevik AB ser. B|Jul|2023|150.8|151.6|131.65|143.65|149.4|137.8|-0.0384872824631861|-0.1269893899204244|0.15153816938853|-0.0446298984034833|12|3
Kinnevik AB ser. B|Aug|2023|143.65|144.55|121.5|128.95|143.65|131.65|-0.1023320570831883|-0.1541942220675253|0.1897119341563786|-0.0770983668818838|18|1
Kinnevik AB ser. B|Sep|2023|128.2|128.2|106.8|109.2|128.95|121.5|-0.1531601395889879|-0.1669266770670826|0.2003745318352059|-0.1209876543209876|28|1
Kinnevik AB ser. B|Oct|2023|109.2|114.3|91.04|94.98|109.2|106.8|-0.1302197802197802|-0.1663003663003662|0.2554920913884007|-0.147565543071161|23|12
Kinnevik AB ser. B|Nov|2023|94.98|105.5|93.08|97.94|94.98|91.04|0.0311644556748789|-0.020004211412929|0.1334336055006446|0.0224077328646747|1|15
Kinnevik AB ser. B|Dec|2023|97.94|113.45|95.94|108.1|97.94|93.08|0.1037369818256075|-0.0204206657137022|0.1825099020220972|0.0307262569832402|1|15
Kinnevik AB ser. B|Jan|2024|108.1|115.15|94.18|112.85|108.1|95.94|0.0439407955596669|-0.1287696577243292|0.2226587385856868|-0.0183447988326036|17|30
Kinnevik AB ser. B|Feb|2024|107.65|112.5|97.5|109.65|112.85|94.18|-0.0283562250775364|-0.0942870413376684|0.1538461538461537|0.0352516457846676|6|26
Kinnevik AB ser. B|Mar|2024|110.75|121.8|100.95|119.95|109.65|97.5|0.0939352485180118|-0.0884875846501128|0.2065378900445764|0.0353846153846153|5|27
Kinnevik AB ser. B|Apr|2024|119.9|125.5|109.4|116.5|119.95|100.95|-0.0287619841600667|-0.0875729774812343|0.1471663619744057|0.0837048043585932|18|10
Kinnevik AB ser. B|May|2024|116.0|129.5|114.1|121.45|116.5|109.4|0.042489270386266|-0.0163793103448276|0.1349693251533743|0.0429616087751369|2|23
Kinnevik AB ser. B|Jun|2024|122.85|126.1|86.45|86.95|121.45|114.1|-0.2840675174969123|-0.2962962962962963|0.4586466165413532|-0.2423312883435582|28|5
Kinnevik AB ser. B|Jul|2024|88.15|92.7|84.72|89.66|86.95|86.45|0.0311673375503163|-0.0389109472490074|0.0941926345609065|-0.0200115673799884|25|12
Kinnevik AB ser. B|Aug|2024|89.6|89.92|77.4|81.57|89.66|84.72|-0.090229756859246|-0.1361607142857142|0.1617571059431524|-0.0864022662889517|5|1
Kinnevik AB ser. B|Sep|2024|81.47|84.14|71.91|82.58|81.57|77.4|0.0123820031874464|-0.1173438075365165|0.1700737032401613|-0.0709302325581396|11|27
Kinnevik AB ser. B|Oct|2024|82.58|83.2|71.64|75.58|82.58|71.91|-0.084766287236619|-0.1324775974812303|0.1613623673925182|-0.0037546933667083|22|1
Kinnevik AB ser. B|Nov|2024|75.73|79.13|71.84|75.79|75.58|71.64|0.0027785128340831|-0.0513666974778819|0.1014755011135857|0.0027917364600782|13|18
Kinnevik AB ser. B|Dec|2024|75.35|82.12|71.2|73.74|75.79|71.84|-0.0270484232748384|-0.055076310550763|0.1533707865168538|-0.0089086859688195|20|10
Kinnevik AB ser. B|Jan|2025|74.5|88.9|74.37|87.8|73.74|71.2|0.1906699213452671|-0.0017449664429529|0.1953744789565685|0.0445224719101122|2|30
Kinnevik AB ser. B|Feb|2025|85.16|93.23|84.6|86.89|87.8|74.37|-0.0103644646924828|-0.0065758572099577|0.1020094562647755|0.1375554659136746|3|17
Kinnevik AB ser. B|Mar|2025|86.98|87.6|70.42|70.44|86.89|84.6|-0.1893198296696974|-0.1903885950793286|0.2439647827321782|-0.167612293144208|31|3
Kinnevik AB ser. B|Apr|2025|71.3|78.86|61.56|77.08|70.44|70.42|0.0942646223736514|-0.1366058906030854|0.2810266406757633|-0.1258165293950581|7|24
Kinnevik AB ser. B|May|2025|78.0|85.9|74.76|81.48|77.08|61.56|0.0570835495588999|-0.0415384615384615|0.1490101658640985|0.2144249512670566|7|16
Kinnevik AB ser. B|Jun|2025|80.42|84.9|75.46|83.68|81.48|74.76|0.0270004909180168|-0.0616761999502611|0.1250993904055131|0.0093632958801497|23|30
Kinnevik AB ser. B|Jul|2025|83.9|94.14|82.22|88.08|83.68|75.46|0.0525812619502867|-0.0200238379022646|0.1449768912673315|0.0895838855022528|2|18
Kinnevik AB ser. B|Aug|2025|87.16|90.58|84.64|84.9|88.08|82.22|-0.0361035422343323|-0.0289123451124369|0.0701795841209829|0.029433227925079|18|8
Kinnevik AB ser. B|Sep|2025|84.24|85.14|80.7|83.08|84.9|84.64|-0.0214369846878681|-0.0420227920227919|0.0550185873605948|-0.0465500945179584|4|10
Latour, Investmentab. ser. B|Jan|2008|25.875|26.25|20.813|21.688||||-0.1956328502415459|0.2612309614183443||23|2
Latour, Investmentab. ser. B|Feb|2008|21.688|24.813|21.5|24.625|21.688|20.813|0.1354205090372557|-0.0086683880486904|0.1540930232558139|0.0330082160188345|1|27
Latour, Investmentab. ser. B|Mar|2008|24.5|24.625|21.75|22.938|24.625|21.5|-0.068507614213198|-0.1122448979591836|0.132183908045977|0.0116279069767442|25|4
Latour, Investmentab. ser. B|Apr|2008|23.063|24.0|20.75|20.75|22.938|21.75|-0.0953875664835643|-0.1002905086068594|0.1566265060240963|-0.0459770114942529|29|2
