HistoricalPeakThreshold,ProbMethod,CurrentProb_Bin,DTE_Bin,RecoveryCandidate_N,RecoveryCandidate_WorthlessCount,RecoveryCandidate_WorthlessRate_pct,AllOptions_N,AllOptions_WorthlessCount,AllOptions_WorthlessRate_pct,RecoveryAdvantage_pp
0.8,Bias Corrected,80-90%,36+,15898,14000,88.06139136998364,15898,14000,88.06139136998364,0.0
0.8,Bias Corrected,80-90%,8-14,8493,7279,85.70587542682209,8493,7279,85.70587542682209,0.0
0.8,Bias Corrected,80-90%,22-28,4020,3550,88.30845771144278,4020,3550,88.30845771144278,0.0
0.8,Bias Corrected,80-90%,29-35,2086,1828,87.63183125599234,2086,1828,87.63183125599234,0.0
0.8,Bias Corrected,50-60%,0-7,2251,1565,69.52465570857397,6116,3663,59.89208633093526,9.632569377638717
0.8,Bias Corrected,50-60%,15-21,1141,903,79.14110429447852,2470,1464,59.27125506072875,19.869849233749775
0.8,Bias Corrected,50-60%,22-28,1168,943,80.73630136986301,2007,1220,60.78724464374689,19.949056726116126
0.8,Bias Corrected,50-60%,36+,5349,4252,79.49149373714714,8144,5080,62.37721021611002,17.114283521037116
0.8,Bias Corrected,50-60%,29-35,951,728,76.5509989484753,1416,857,60.5225988700565,16.028400078418798
0.8,Bias Corrected,50-60%,8-14,1804,1348,74.72283813747228,4574,2591,56.64626147791867,18.07657665955361
0.8,Bias Corrected,70-80%,15-21,4915,4133,84.08952187182096,6058,4614,76.16375041267746,7.925771459143505
0.8,Bias Corrected,70-80%,0-7,3500,2872,82.05714285714286,6998,5404,77.22206344669905,4.835079410443811
0.8,Bias Corrected,70-80%,8-14,5917,4921,83.16714551292885,8568,6500,75.86367880485527,7.303466708073586
0.8,Bias Corrected,70-80%,36+,11426,9520,83.31874671801155,12798,9948,77.73089545241444,5.587851265597109
0.8,Bias Corrected,70-80%,22-28,3131,2670,85.2762695624401,3679,2923,79.45093775482468,5.825331807615427
0.8,Bias Corrected,70-80%,29-35,1698,1463,86.16018845700825,1974,1596,80.85106382978722,5.309124627221024
0.8,Bias Corrected,60-70%,15-21,3023,2505,82.86470393648693,4747,3204,67.4952601643143,15.36944377217263
0.8,Bias Corrected,60-70%,0-7,3041,2355,77.44163104242025,6917,4739,68.51236085007952,8.929270192340738
0.8,Bias Corrected,60-70%,22-28,2264,1884,83.21554770318022,3208,2242,69.88778054862843,13.327767154551793
0.8,Bias Corrected,60-70%,36+,8047,6520,81.02398409345098,10301,7186,69.76021745461605,11.263766638834923
0.8,Bias Corrected,60-70%,29-35,1452,1171,80.64738292011019,1869,1315,70.35848047084002,10.288902449270168
0.8,Bias Corrected,60-70%,8-14,3663,2866,78.24187824187824,6923,4544,65.63628484760942,12.605593394268823
0.8,Historical IV,70-80%,15-21,5007,4195,83.78270421410025,6417,5029,78.36995480754247,5.412749406557779
0.8,Historical IV,70-80%,0-7,2100,1666,79.33333333333333,5443,3999,73.47051258497153,5.8628207483617985
0.8,Historical IV,70-80%,22-28,2919,2462,84.34395340870161,3902,3066,78.57508969759098,5.768863711110626
0.8,Historical IV,70-80%,36+,10653,9028,84.74608091617385,13505,10847,80.3184005923732,4.427680323800658
0.8,Historical IV,70-80%,29-35,1834,1550,84.51472191930208,2415,1902,78.75776397515529,5.756957944146791
0.8,Historical IV,70-80%,8-14,6176,5062,81.96243523316062,8954,6822,76.18941255304892,5.773022680111694
0.8,Historical IV,80-90%,15-21,7067,6127,86.6987406254422,7067,6127,86.6987406254422,0.0
0.8,Historical IV,80-90%,36+,11835,10359,87.52851711026615,11835,10359,87.52851711026615,0.0
0.8,Historical IV,80-90%,29-35,3055,2702,88.44517184942717,3055,2702,88.44517184942717,0.0
0.8,Historical IV,80-90%,0-7,5445,4566,83.85674931129476,5445,4566,83.85674931129476,0.0
0.8,Historical IV,80-90%,8-14,9057,7683,84.82941371315005,9057,7683,84.82941371315005,0.0
0.8,Historical IV,80-90%,22-28,4485,4014,89.49832775919732,4485,4014,89.49832775919732,0.0
0.8,Historical IV,60-70%,15-21,2911,2371,81.4496736516661,4534,3110,68.59285399205999,12.856819659606117
0.8,Historical IV,60-70%,22-28,1827,1506,82.43021346469622,2871,1964,68.40822013235807,14.021993332338155
0.8,Historical IV,60-70%,36+,7836,6364,81.2149055640633,11143,7845,70.40294355200575,10.811962012057549
0.8,Historical IV,60-70%,8-14,3782,2866,75.7800105764146,7489,4911,65.5761783949793,10.203832181435303
0.8,Historical IV,60-70%,29-35,1139,912,80.0702370500439,1724,1187,68.85150812064965,11.218728929394246
0.8,Historical IV,60-70%,0-7,1117,788,70.54610564010743,3645,2348,64.41700960219478,6.129096037912646
0.8,Historical IV,50-60%,15-21,1367,1080,79.00512070226775,2609,1614,61.862782675354545,17.1423380269132
0.8,Historical IV,50-60%,22-28,1002,805,80.33932135728543,1850,1120,60.54054054054055,19.79878081674488
0.8,Historical IV,50-60%,36+,4711,3700,78.53958819783486,7823,4691,59.964208104307815,18.575380093527045
0.8,Historical IV,50-60%,29-35,776,578,74.48453608247422,1314,763,58.06697108066972,16.417565001804505
0.8,Historical IV,50-60%,8-14,1233,829,67.23438767234387,3960,2148,54.24242424242425,12.991963429919622
