DataType|Stock|HistoricalPeakThreshold|ProbMethod|CurrentProb_Bin|DTE_Bin|RecoveryCandidate_N|RecoveryCandidate_WorthlessCount|RecoveryCandidate_WorthlessRate_pct|AllOptions_N|AllOptions_WorthlessCount|AllOptions_WorthlessRate_pct|RecoveryAdvantage_pp
scenario||0.85|Weighted Average|50-60%|15-21|987|876|88.75379939209726|4170|2519|60.40767386091128|28.34612553118599
scenario||0.85|Weighted Average|50-60%|36+|3694|3240|87.70979967514889|10769|6595|61.24059801281456|26.469201662334328
scenario||0.85|Weighted Average|50-60%|8-14|1121|896|79.92863514719001|6867|3826|55.71574195427407|24.212893192915946
scenario||0.85|Weighted Average|50-60%|29-35|655|549|83.81679389312977|1933|1135|58.7170201758924|25.09977371723737
scenario||0.85|Bayesian Calibrated|80-90%|22-28|5245|4765|90.84842707340324|6043|5288|87.5062055270561|3.3422215463471474
scenario||0.85|Bayesian Calibrated|80-90%|15-21|8267|7492|90.62537800895126|9553|8369|87.60598764785931|3.0193903610919506
scenario||0.85|Bayesian Calibrated|80-90%|8-14|9575|8527|89.05483028720627|11975|10223|85.36951983298539|3.6853104542208825
scenario||0.85|Bayesian Calibrated|80-90%|0-7|6978|6149|88.11980510174836|10987|9270|84.37244015654865|3.747364945199706
scenario||0.85|Bayesian Calibrated|80-90%|36+|16469|14888|90.40014572833807|17575|15497|88.17638691322902|2.223758815109065
scenario||0.85|Bayesian Calibrated|80-90%|29-35|2566|2278|88.7763055339049|3013|2565|85.13109857285099|3.645206961053916
scenario||0.85|Bayesian Calibrated|70-80%|22-28|3708|3291|88.75404530744336|5392|4284|79.45103857566765|9.30300673177571
scenario||0.85|Bayesian Calibrated|70-80%|0-7|3802|3264|85.84955286691215|9530|7295|76.54774396642182|9.301808900490329
scenario||0.85|Bayesian Calibrated|70-80%|15-21|6755|6016|89.059955588453|9923|7824|78.84712284591353|10.212832742539462
scenario||0.85|Bayesian Calibrated|70-80%|8-14|6628|5762|86.93421846710923|11746|8924|75.97479993189171|10.959418535217525
scenario||0.85|Bayesian Calibrated|70-80%|36+|12697|11121|87.58761912262739|15691|12447|79.32572812440253|8.261890998224857
scenario||0.85|Bayesian Calibrated|70-80%|29-35|2043|1786|87.42046010768478|2687|2119|78.86118347599553|8.559276631689244
scenario||0.85|Bayesian Calibrated|60-70%|22-28|2421|2100|86.74101610904586|4410|3036|68.84353741496598|17.89747869407988
scenario||0.85|Bayesian Calibrated|60-70%|15-21|4418|3912|88.54685377999094|8343|5820|69.75907946781733|18.78777431217361
scenario||0.85|Bayesian Calibrated|60-70%|0-7|3171|2504|78.96562598549353|9567|6370|66.5830458869029|12.382580098590635
scenario||0.85|Bayesian Calibrated|60-70%|36+|9251|7836|84.70435628580694|13557|9560|70.51707604927344|14.187280236533496
scenario||0.85|Bayesian Calibrated|60-70%|8-14|4800|3958|82.45833333333333|10764|7208|66.96395392047566|15.494379412857668
scenario||0.85|Bayesian Calibrated|60-70%|29-35|1504|1262|83.9095744680851|2397|1657|69.12807676261994|14.781497705465156
scenario||0.85|Bayesian Calibrated|50-60%|22-28|1396|1185|84.88538681948424|3032|1813|59.79551451187335|25.08987230761089
scenario||0.85|Bayesian Calibrated|50-60%|0-7|1516|1138|75.06596306068602|5556|3254|58.56731461483081|16.498648445855203
scenario||0.85|Bayesian Calibrated|50-60%|15-21|2387|2051|85.92375366568915|5642|3466|61.43211627082594|24.491637394863204
scenario||0.85|Bayesian Calibrated|50-60%|36+|5728|4740|82.75139664804469|10299|6397|62.112826488008544|20.638570160036146
scenario||0.85|Bayesian Calibrated|50-60%|8-14|2250|1734|77.06666666666668|6939|4023|57.97665369649806|19.09001297016861
scenario||0.85|Bayesian Calibrated|50-60%|29-35|973|778|79.95889003083248|1903|1123|59.01208617971624|20.94680385111624
scenario||0.85|Original Black-Scholes|80-90%|22-28|4687|4367|93.17260507787498|5602|5056|90.25348089967868|2.9191241781962987
scenario||0.85|Original Black-Scholes|80-90%|0-7|5252|4890|93.1073876618431|10013|8953|89.41376210925796|3.6936255525851465
scenario||0.85|Original Black-Scholes|80-90%|15-21|8287|7723|93.19415952696995|10142|9079|89.51883257740091|3.67532694956904
scenario||0.85|Original Black-Scholes|80-90%|36+|17160|16028|93.4032634032634|18735|16961|90.53109153989858|2.8721718633648265
scenario||0.85|Original Black-Scholes|80-90%|8-14|8361|7706|92.16600885061597|11857|10571|89.15408619380956|3.011922656806391
scenario||0.85|Original Black-Scholes|80-90%|29-35|2164|1979|91.45101663585952|2553|2282|89.38503721112416|2.06597942473536
scenario||0.85|Original Black-Scholes|70-80%|22-28|3496|3253|93.0491990846682|5473|4501|82.2400877032706|10.809111381397583
scenario||0.85|Original Black-Scholes|70-80%|15-21|5627|5177|92.00284343344588|9629|7848|81.50379063246443|10.49905280098146
scenario||0.85|Original Black-Scholes|70-80%|36+|14387|13139|91.3255021894766|18802|15266|81.19349005424955|10.132012135227058
scenario||0.85|Original Black-Scholes|70-80%|8-14|5122|4622|90.23818820773135|12261|9721|79.28390832721638|10.954279880514974
scenario||0.85|Original Black-Scholes|70-80%|29-35|1624|1464|90.14778325123152|2370|1946|82.1097046413502|8.038078609881325
scenario||0.85|Original Black-Scholes|70-80%|0-7|2706|2409|89.02439024390245|10538|8555|81.18238754981971|7.842002694082737
scenario||0.85|Original Black-Scholes|60-70%|22-28|2585|2391|92.49516441005802|5108|3745|73.31636648394675|19.178797926111272
scenario||0.85|Original Black-Scholes|60-70%|15-21|3770|3439|91.22015915119364|8742|6358|72.72935255090368|18.49080660028996
scenario||0.85|Original Black-Scholes|60-70%|0-7|1960|1624|82.85714285714286|9838|7002|71.17300264281357|11.68414021432929
scenario||0.85|Original Black-Scholes|60-70%|8-14|3370|2913|86.43916913946587|11340|7815|68.91534391534393|17.52382522412195
scenario||0.85|Original Black-Scholes|60-70%|36+|10998|9902|90.03455173667939|17916|12636|70.52913596784997|19.505415768829423
scenario||0.85|Original Black-Scholes|60-70%|29-35|1191|1054|88.49706129303107|2190|1590|72.6027397260274|15.894321567003672
scenario||0.85|Original Black-Scholes|50-60%|22-28|1865|1716|92.01072386058982|4720|3097|65.61440677966101|26.39631708092881
scenario||0.85|Original Black-Scholes|50-60%|0-7|1543|1158|75.04860661049902|9275|5661|61.03504043126685|14.013566179232171
scenario||0.85|Original Black-Scholes|50-60%|15-21|2471|2229|90.20639417239984|7927|4950|62.444808881039485|27.761585291360355
scenario||0.85|Original Black-Scholes|50-60%|36+|8103|7234|89.27557694680982|16931|10027|59.22272754119662|30.0528494056132
scenario||0.85|Original Black-Scholes|50-60%|29-35|897|761|84.83835005574136|2122|1272|59.943449575871824|24.89490047986953
scenario||0.85|Original Black-Scholes|50-60%|8-14|2310|1891|81.86147186147186|10803|6325|58.54855132833472|23.31292053313713
scenario||0.85|Bias Corrected|80-90%|22-28|4176|3926|94.01340996168582|4930|4515|91.58215010141988|2.431259860265939
scenario||0.85|Bias Corrected|80-90%|0-7|4933|4553|92.29677680924388|9803|8628|88.01387330409058|4.2829035051532856
scenario||0.85|Bias Corrected|80-90%|15-21|8154|7424|91.04733872945792|9800|8606|87.81632653061224|3.23101219884569
scenario||0.85|Bias Corrected|80-90%|36+|16235|14991|92.33754234678165|17735|15926|89.79983084296589|2.537711503815757
scenario||0.85|Bias Corrected|80-90%|8-14|8172|7443|91.07929515418502|11480|10047|87.51742160278746|3.5618735513975537
scenario||0.85|Bias Corrected|80-90%|29-35|2043|1888|92.41311796377876|2603|2296|88.20591625048021|4.207201713298545
scenario||0.85|Bias Corrected|70-80%|22-28|3080|2835|92.04545454545456|5244|4321|82.39893211289092|9.646522432563629
scenario||0.85|Bias Corrected|70-80%|15-21|4868|4362|89.60558751027115|9015|7008|77.73710482529118|11.868482684979966
scenario||0.85|Bias Corrected|70-80%|0-7|2717|2390|87.96466691203534|10214|8105|79.35186998237714|8.612796929658202
scenario||0.85|Bias Corrected|70-80%|36+|11009|9827|89.26333000272504|15215|12160|79.92113046335852|9.342199539366518
scenario||0.85|Bias Corrected|70-80%|29-35|1957|1771|90.49565661727134|3204|2620|81.77278401997503|8.722872597296302
scenario||0.85|Bias Corrected|70-80%|8-14|5199|4578|88.05539526832084|11882|9191|77.35229759299781|10.703097675323022
scenario||0.85|Bias Corrected|60-70%|22-28|2066|1853|89.69022265246855|4609|3363|72.9659362117596|16.72428644070895
